year,school,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2011,Wyoming,2044,720,1672,155,549,449,665,280,656,935,324,233,117,429,567
2011,Canisius,2043,739,1742,231,662,334,478,331,664,995,449,207,145,412,580
2011,Army,2038,707,1701,264,725,360,507,283,658,940,403,169,53,413,605
2011,Pacific,2038,705,1606,236,664,391,558,282,705,986,433,141,63,351,460
2011,Campbell,2032,742,1640,123,351,425,663,312,645,956,425,219,155,439,680
2011,Southeastern Louisiana,2031,705,1614,181,528,440,610,290,631,920,415,181,112,386,570
2011,Wagner,2029,671,1544,196,529,491,636,208,613,820,418,177,119,448,747
2011,South Carolina,2027,741,1877,207,662,338,510,399,665,1063,327,209,185,398,562
2011,Eastern Washington,2023,688,1685,242,656,405,611,348,637,985,356,174,120,405,611
2011,Loyola (MD),2023,701,1682,180,531,441,625,347,642,989,357,195,130,383,579
2011,Kennesaw State,2017,720,1731,176,580,401,618,357,628,985,347,171,119,432,531
2011,Albany,2013,724,1707,238,630,327,507,328,728,1055,370,150,90,405,504
2011,Prairie View A&M,2011,733,1920,202,671,343,596,389,748,1136,366,213,118,463,637
2011,George Washington,2011,712,1716,182,541,405,646,372,666,1037,371,199,123,385,567
2011,St. Francis (NY),2002,673,1684,209,673,447,675,332,588,919,349,234,72,389,641
2011,Brown,2002,688,1567,209,610,417,558,195,702,896,399,147,76,336,462
2011,Bryant,2001,704,1683,243,673,350,537,275,622,896,400,167,82,401,561
2011,Grambling State,1998,699,1838,166,556,434,707,328,778,1105,338,214,91,496,689
2011,Charlotte,1997,674,1629,202,606,447,613,312,723,1035,353,193,96,440,529
2011,Drake,1997,687,1608,203,573,420,613,224,642,865,362,175,87,369,568
2011,LSU,1991,692,1731,175,561,432,650,317,709,1025,362,204,106,454,621
2011,Massachusetts,1988,698,1742,165,568,427,645,357,700,1057,337,192,115,409,628
2011,Stetson,1986,701,1641,164,552,420,677,322,618,940,295,235,90,497,658
2011,Gardner-Webb,1985,716,1742,203,626,350,545,320,712,1031,334,224,77,459,600
2011,Central Arkansas,1984,690,1657,165,527,439,684,314,590,903,346,221,76,460,570
2011,Arizona State,1983,719,1674,240,684,305,486,259,670,928,463,195,115,375,574
2011,Columbia,1982,702,1643,158,468,420,588,308,642,950,324,180,84,343,536
2011,Marist,1979,664,1734,207,665,448,628,296,739,1034,317,166,86,475,652
2011,Drexel,1975,719,1696,117,378,420,683,385,799,1184,348,127,85,365,581
2011,UNC Wilmington,1975,714,1646,221,599,326,473,323,667,990,349,169,104,417,492
2011,Winthrop,1973,719,1732,126,410,409,636,324,720,1044,352,223,98,384,572
2011,Florida Gulf Coast,1970,667,1662,175,531,461,708,355,668,1023,362,189,65,497,559
2011,South Alabama,1969,684,1617,158,475,443,666,340,624,963,339,196,138,387,503
2011,Niagara,1966,663,1781,174,632,466,706,328,646,974,335,256,110,445,615
2011,St. Francis (PA),1957,684,1588,170,511,419,576,266,621,887,402,168,92,454,645
2011,Saint Louis,1953,715,1639,170,522,353,538,249,651,900,421,198,109,406,587
2011,Southern Illinois,1953,691,1617,141,439,430,621,284,714,997,365,179,82,446,634
2011,Delaware,1951,663,1592,182,523,443,641,259,714,973,323,115,125,356,613
2011,Stony Brook,1951,679,1777,221,640,372,565,338,749,1086,305,172,89,389,568
2011,Holy Cross,1949,713,1618,148,454,375,577,306,688,993,385,118,109,380,529
2011,Colgate,1947,683,1633,164,492,417,611,292,659,950,379,173,90,457,618
2011,Illinois-Chicago,1943,723,1703,146,467,351,526,365,705,1070,361,144,82,480,554
2011,Texas A&M-CC,1941,684,1581,145,486,428,666,325,659,983,353,199,109,535,555
2011,Mount St. Mary's,1940,689,1645,150,462,412,606,271,669,939,378,187,112,463,616
2011,Auburn,1933,675,1694,148,464,435,663,341,646,987,347,242,100,436,638
2011,UMBC,1928,700,1745,183,553,345,488,285,619,904,346,178,48,386,592
2011,Stephen F. Austin,1926,703,1535,112,359,408,566,328,635,963,424,200,40,394,511
2011,Sacred Heart,1922,672,1565,165,478,413,588,294,594,887,344,225,89,435,574
2011,Georgia State,1919,707,1676,179,512,326,549,351,686,1036,404,201,147,447,656
2011,Virginia,1918,668,1611,226,583,356,516,247,663,909,354,179,92,333,498
2011,Presbyterian,1915,679,1530,218,559,339,466,223,639,861,367,126,54,422,454
2011,Yale,1908,654,1482,167,487,433,589,224,682,906,354,133,128,373,522
2011,Cal State Bakersfield,1907,657,1661,181,546,412,598,325,578,903,329,204,89,379,535
2011,Cornell,1906,658,1580,251,671,339,492,259,586,844,406,186,70,335,578
2011,Eastern Michigan,1906,661,1696,214,664,374,597,310,725,1034,404,203,115,446,608
2011,Illinois State,1893,680,1599,153,493,380,537,280,717,996,346,153,124,407,568
2011,Samford,1880,627,1464,275,776,351,520,162,608,769,409,182,49,414,522
2011,SIU-Edwardsville,1879,668,1584,197,590,346,517,216,624,839,386,167,83,484,588
2011,Idaho State,1878,646,1560,133,431,453,646,306,605,910,277,194,95,383,545
2011,Delaware State,1874,674,1576,206,594,320,448,241,472,712,347,253,109,324,464
2011,Pennsylvania ,1868,644,1417,185,501,395,536,187,595,781,378,171,65,383,505
2011,Fairleigh Dickinson,1866,643,1618,150,468,430,637,320,683,1002,338,166,102,431,555
2011,Manhattan,1862,677,1676,113,378,395,565,342,627,968,300,200,124,411,520
2011,Binghamton,1861,651,1641,233,659,326,465,280,603,883,338,157,102,377,503
2011,Louisiana-Monroe ,1859,669,1606,158,492,363,560,302,585,887,311,193,51,430,587
2011,Hartford,1857,672,1756,265,869,248,413,300,597,896,367,244,77,380,571
2011,Toledo,1853,635,1557,170,531,413,658,267,660,926,392,174,47,504,537
2011,Arkansas-Pine Bluff ,1850,627,1609,191,556,405,646,265,650,914,356,234,67,501,649
2011,Central Michigan,1841,661,1720,156,480,363,577,344,622,965,271,222,112,408,662
2011,Alcorn State,1838,613,1663,116,359,494,781,264,672,936,255,218,103,467,608
2011,Nicholls State,1836,634,1431,190,567,378,550,229,515,743,395,222,29,355,544
2011,Jacksonville State,1828,656,1545,174,472,342,527,281,542,823,368,189,106,423,597
2011,San Diego,1826,641,1519,163,492,381,560,219,597,815,338,155,87,426,589
2011,Monmouth,1818,632,1551,178,548,376,588,275,652,926,376,203,63,429,520
2011,Savannah State,1818,640,1562,166,534,372,583,291,659,950,316,217,105,428,572
2011,Alabama A&M ,1808,633,1585,125,429,417,668,324,682,1006,339,233,151,435,562
2011,Denver,1800,601,1324,232,578,366,505,128,536,663,397,166,106,354,651
2011,Fordham,1795,648,1636,182,541,317,503,344,661,1005,350,117,123,387,514
2011,Cal Poly,1779,603,1551,190,610,383,578,318,651,969,336,181,62,358,557
2011,Centenary,1775,599,1507,131,436,448,715,262,585,846,293,213,73,536,653
2011,Howard,1753,593,1576,149,480,418,671,358,615,973,279,182,64,463,572
2011,Eastern Illinois,1749,640,1518,117,362,352,486,284,643,927,366,173,72,392,550
2011,New Hampshire,1749,609,1628,191,658,340,555,317,664,981,292,134,92,353,546
2011,USC Upstate,1746,625,1680,214,735,282,470,356,601,956,341,174,110,432,554
2011,Radford,1734,598,1560,134,451,404,646,299,640,939,294,229,88,471,560
2011,Sacramento State,1729,593,1479,155,507,388,570,306,647,953,344,172,96,408,509
2011,Western Illinois,1719,595,1439,160,457,369,558,191,628,818,313,152,74,393,571
2011,Southern,1701,610,1597,153,517,328,550,267,635,902,350,165,100,490,506
2011,Dartmouth,1667,605,1530,142,435,315,452,237,560,797,257,180,71,373,529
2011,New Orleans,1636,560,1195,141,404,377,516,233,550,782,309,160,60,334,403
