year,team0,team1,seed,wins,losses,winp,cwins,closses,cwinp,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg
2022,Murray State,San Francisco,-3,5,-6,0.17900000000000005,8,-6,0.375,60,4.364999999999995,34,-8,0.01899999999999996,-55,-159,0.0010000000000000009,47,70,-0.0020000000000000018,52,1.9530000000000012,-19,0.26399999999999935,33,2.216000000000001,64,2.4139999999999997,5,0.4029999999999996,-49,-1.383,-44,-0.9649999999999999,-91,-2.2609999999999992
2022,Kentucky,Saint Peter's,-13,3,0,0.025000000000000022,0,-2,0.07800000000000007,424,5.947999999999993,233,268,0.055999999999999994,9,30,-0.0030000000000000027,-51,-94,0.025000000000000022,85,1.568999999999999,52,-0.9759999999999991,137,0.5939999999999941,131,2.7029999999999994,-9,-1.0,-26,-1.303,-61,-3.2299999999999986,-182,-7.542000000000002
2022,Arizona,Wright State,-15,9,-9,0.264,3,-5,0.21799999999999997,378,11.117000000000004,130,129,0.030999999999999972,54,115,0.01899999999999996,64,113,-0.029000000000000026,65,1.9120000000000008,217,6.383000000000003,282,8.294000000000004,220,6.471000000000002,37,1.0889999999999995,103,3.0290000000000004,57,1.6769999999999996,96,2.824
2022,Seton Hall,Texas Christian,-1,-1,0,-0.01100000000000001,3,-2,0.13499999999999995,-26,1.5079999999999956,-54,-38,-0.019000000000000017,46,70,0.03600000000000003,36,-17,0.07899999999999996,-56,-1.379999999999999,-36,-0.28800000000000026,-92,-1.6669999999999945,-134,-3.8550000000000004,7,0.44599999999999973,32,1.1750000000000007,-106,-2.923,-27,-0.33999999999999986
2022,Houston,UAB,-7,4,-4,0.118,1,-1,0.05499999999999994,33,0.9710000000000036,19,55,-0.0030000000000000027,22,148,-0.03899999999999998,-27,28,-0.07199999999999995,83,2.440999999999999,49,1.440999999999999,132,3.882000000000005,163,4.793999999999999,-31,-0.9109999999999996,51,1.5,21,0.6180000000000003,73,2.1469999999999985
2022,Illinois,Chattanooga,-9,-6,3,-0.11699999999999999,1,1,-0.028000000000000025,-140,2.8730000000000047,-93,-134,-0.016000000000000014,19,21,0.014000000000000012,27,69,-0.040000000000000036,16,1.4949999999999992,7,2.6759999999999984,23,4.171999999999997,52,2.955000000000002,-81,-1.896,24,0.988,22,1.799999999999999,-9,1.2669999999999995
2022,Colorado State,Michigan,-5,5,-6,0.18700000000000006,3,-5,0.22799999999999998,-195,-3.8440000000000083,-93,-247,0.012999999999999956,28,47,0.01799999999999996,-37,-68,0.027000000000000024,-116,-3.522999999999999,-96,-2.280000000000001,-212,-5.802999999999997,-39,-0.7829999999999995,38,1.439,-17,-0.4460000000000002,-84,-2.3739999999999988,-49,-1.0779999999999994
2022,Tennessee,Longwood,-11,-1,2,-0.05400000000000005,-1,3,-0.15999999999999992,72,-0.18499999999998806,42,175,-0.018000000000000016,36,137,-0.019000000000000017,-48,-57,-0.01100000000000001,17,0.16199999999999903,71,1.3979999999999997,88,1.5600000000000023,112,2.9549999999999983,69,1.847999999999999,70,2.046,29,0.5010000000000012,85,2.0950000000000006
2022,Ohio State,Loyola (IL),-3,-6,4,-0.14800000000000002,-1,3,-0.122,-74,2.5390000000000015,-36,-55,-0.0050000000000000044,-42,-85,-0.014000000000000012,40,19,0.04500000000000004,27,1.4059999999999997,-39,0.43900000000000006,-12,1.8449999999999989,-93,-2.0749999999999993,-85,-2.356,70,2.5,-45,-0.6609999999999996,-43,-0.25
2022,Villanova,Delaware,-13,4,-5,0.14100000000000001,6,-4,0.244,158,7.076999999999998,13,193,-0.03699999999999998,94,236,0.01200000000000001,38,-22,0.08599999999999997,86,2.860999999999999,95,3.602999999999998,181,6.464000000000006,11,0.7259999999999991,-4,0.0860000000000003,-46,-1.279,-64,-1.5470000000000006,19,1.064
2022,Kansas,Texas Southern,-15,9,-6,0.21799999999999997,1,-1,0.05600000000000005,920,21.185000000000002,341,538,0.044999999999999984,106,218,0.046999999999999986,132,151,0.03799999999999992,55,0.5779999999999994,200,3.4720000000000013,255,4.052,267,7.043000000000001,73,1.673,7,-0.28800000000000026,9,-1.1700000000000017,71,0.4400000000000013
2022,San Diego State,Creighton,-1,-1,-1,0.013000000000000012,1,-3,0.133,-329,-5.878,-135,-241,-0.016000000000000014,-43,-221,0.045999999999999985,-16,13,-0.04600000000000004,-7,0.38400000000000034,-184,-4.0290000000000035,-191,-3.645000000000003,-84,-1.798,47,1.8920000000000003,3,0.3879999999999999,-83,-1.7149999999999999,83,3.6080000000000005
2022,Iowa,Richmond,-7,1,-1,0.027999999999999914,2,0,0.04399999999999993,367,10.485,137,210,0.019000000000000017,41,31,0.033999999999999975,52,42,0.031000000000000028,148,4.228,-13,-0.3719999999999999,135,3.8569999999999993,41,1.1720000000000006,-17,-0.48599999999999977,69,1.9709999999999996,-29,-0.8279999999999994,70,2.0
2022,Providence,South Dakota State,-9,-5,1,-0.049000000000000044,-4,3,-0.17600000000000005,-645,-9.715000000000003,-270,-210,-0.08600000000000002,-83,-27,-0.10100000000000003,-22,-2,-0.030000000000000027,102,4.367999999999999,-91,0.7200000000000024,11,5.088000000000001,-91,-0.9619999999999997,-47,-0.7319999999999993,32,1.4150000000000005,-8,1.2430000000000003,-9,1.8019999999999996
2022,LSU,Iowa State,-5,-1,2,-0.051999999999999935,2,-2,0.11099999999999999,171,3.0079999999999956,30,35,0.008000000000000007,-14,-45,0.0010000000000000009,125,136,0.04799999999999993,78,2.0619999999999994,62,1.1479999999999997,140,3.2109999999999985,-82,-2.969999999999999,74,1.9590000000000014,36,0.988,15,-0.004000000000001336,12,-0.24200000000000088
2022,Wisconsin,Colgate,-11,0,-3,0.06599999999999995,-1,3,-0.139,-338,-3.372,-149,-103,-0.05199999999999999,-134,-162,-0.09800000000000003,94,94,0.04600000000000004,-8,0.581999999999999,-106,-0.7690000000000019,-114,-0.18799999999999528,-233,-5.814000000000002,-39,-0.649,-29,-0.577,-110,-2.418000000000001,47,2.958999999999998
2022,USC,Miami (FL),-3,0,0,0.0,0,0,0.0,-275,-8.333000000000013,-101,-134,-0.01799999999999996,-27,-115,0.01799999999999996,-46,3,-0.07799999999999996,121,3.6660000000000004,119,3.605999999999998,240,7.273000000000003,-38,-1.1510000000000016,-158,-4.787,33,0.9999999999999996,63,1.9090000000000007,-20,-0.6060000000000016
2022,Auburn,Jacksonville State,-13,5,-4,0.135,2,0,0.020999999999999908,307,7.221999999999994,105,371,-0.03200000000000003,-23,94,-0.069,120,130,0.04499999999999993,121,3.4830000000000005,79,1.6209999999999987,200,5.103999999999999,43,0.8820000000000014,85,2.4560000000000004,180,5.532,-8,-0.6720000000000006,170,4.85
