year,team0,team1,seed,wins,losses,winp,cwins,closses,cwinp,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,result
2003,Indiana,Pittsburgh,5,-5,7,-0.20799999999999996,-5,5,-0.31200000000000006,19.0,-4.068999999999988,-56.0,152.0,-0.07500000000000001,48.0,149.0,-0.006000000000000005,82.0,41.0,0.07799999999999996,16.0,-0.1379999999999999,83.0,1.1270000000000024,97.0,0.9249999999999972,-88.0,-3.855000000000002,-100.0,-3.6290000000000004,48.0,1.2440000000000007,-86.0,-3.6140000000000008,39.0,0.09500000000000242,1
2003,Kentucky,Wisconsin,-4,5,-2,0.08499999999999996,4,-4,0.25,430.0,6.807000000000002,185.0,295.0,0.025999999999999968,8.0,27.0,-0.0030000000000000027,52.0,101.0,-0.03400000000000003,107.0,2.4610000000000003,96.0,0.9830000000000005,204.0,3.474999999999998,134.0,2.9430000000000014,45.0,0.75,84.0,2.36,144.0,3.520999999999999,127.0,2.5779999999999994,0
2003,Wisconsin,Kentucky,4,-5,2,-0.08499999999999996,-4,4,-0.25,-430.0,-6.807000000000002,-185.0,-295.0,-0.025999999999999968,-8.0,-27.0,0.0030000000000000027,-52.0,-101.0,0.03400000000000003,-107.0,-2.4610000000000003,-96.0,-0.9830000000000005,-204.0,-3.474999999999998,-134.0,-2.9430000000000014,-45.0,-0.75,-84.0,-2.36,-144.0,-3.520999999999999,-127.0,-2.5779999999999994,1
2003,Marquette,Pittsburgh,1,0,-2,0.06000000000000005,1,-1,0.06299999999999994,-43.0,3.7930000000000064,-44.0,-30.0,-0.018000000000000016,-28.0,-116.0,0.029000000000000026,75.0,-22.0,0.135,31.0,1.8360000000000003,-61.0,-0.5030000000000001,-31.0,1.2999999999999972,-73.0,-1.346,-74.0,-2.067,-20.0,-0.4209999999999998,-75.0,-1.6189999999999998,-18.0,0.6400000000000006,0
2003,Pittsburgh,Marquette,-1,0,2,-0.06000000000000005,-1,1,-0.06299999999999994,43.0,-3.7930000000000064,44.0,30.0,0.018000000000000016,28.0,116.0,-0.029000000000000026,-75.0,22.0,-0.135,-31.0,-1.8360000000000003,61.0,0.5030000000000001,31.0,-1.2999999999999972,73.0,1.346,74.0,2.067,20.0,0.4209999999999998,75.0,1.6189999999999998,18.0,-0.6400000000000006,1
2003,Marquette,Kentucky,2,-2,-2,0.049000000000000044,-2,2,-0.125,-286.0,0.8619999999999948,-149.0,-293.0,-0.0040000000000000036,-27.0,-104.0,0.02300000000000002,39.0,-4.0,0.06300000000000006,-43.0,0.1609999999999996,-77.0,0.46399999999999864,-121.0,0.5940000000000012,-62.0,0.10200000000000031,-80.0,-1.75,-63.0,-1.509,-77.0,-0.754999999999999,-36.0,1.2010000000000005,0
2003,Kentucky,Marquette,-2,2,2,-0.049000000000000044,2,-2,0.125,286.0,-0.8619999999999948,149.0,293.0,0.0040000000000000036,27.0,104.0,-0.02300000000000002,-39.0,4.0,-0.06300000000000006,43.0,-0.1609999999999996,77.0,-0.46399999999999864,121.0,-0.5940000000000012,62.0,-0.10200000000000031,80.0,1.75,63.0,1.509,77.0,0.754999999999999,36.0,-1.2010000000000005,1
2003,Arizona,Vermont,-15,4,-9,0.257,6,-4,0.256,96.0,15.819999999999993,11.0,-22.0,0.01100000000000001,15.0,40.0,0.0020000000000000018,63.0,57.0,0.03499999999999992,10.0,2.472999999999999,-75.0,1.8019999999999996,-64.0,4.305,18.0,3.212999999999999,16.0,1.7829999999999995,18.0,1.1840000000000006,-65.0,0.25900000000000034,-27.0,1.8710000000000004,0
2003,Vermont,Arizona,15,-4,9,-0.257,-6,4,-0.256,-96.0,-15.819999999999993,-11.0,22.0,-0.01100000000000001,-15.0,-40.0,-0.0020000000000000018,-63.0,-57.0,-0.03499999999999992,-10.0,-2.472999999999999,75.0,-1.8019999999999996,64.0,-4.305,-18.0,-3.212999999999999,-16.0,-1.7829999999999995,-18.0,-1.1840000000000006,65.0,-0.25900000000000034,27.0,-1.8710000000000004,1
2003,Gonzaga,Cincinnati,1,8,-5,0.20300000000000007,3,-5,0.29499999999999993,504.0,9.744,167.0,132.0,0.06599999999999995,35.0,45.0,0.033999999999999975,135.0,159.0,0.03300000000000003,28.0,-0.15800000000000125,122.0,1.779,150.0,1.6169999999999973,144.0,3.4560000000000013,67.0,1.6630000000000003,-10.0,-0.734,149.0,3.789999999999999,47.0,-0.31899999999999906,0
2003,Cincinnati,Gonzaga,-1,-8,5,-0.20300000000000007,-3,5,-0.29499999999999993,-504.0,-9.744,-167.0,-132.0,-0.06599999999999995,-35.0,-45.0,-0.033999999999999975,-135.0,-159.0,-0.03300000000000003,-28.0,0.15800000000000125,-122.0,-1.779,-150.0,-1.6169999999999973,-144.0,-3.4560000000000013,-67.0,-1.6630000000000003,10.0,0.734,-149.0,-3.789999999999999,-47.0,0.31899999999999906,1
2003,Notre Dame,Milwaukee,-7,-1,1,-0.03200000000000003,-3,3,-0.18700000000000006,86.0,2.774000000000001,-7.0,92.0,-0.02699999999999997,19.0,5.0,0.026000000000000023,81.0,46.0,0.07000000000000006,8.0,0.2580000000000009,108.0,3.483999999999998,116.0,3.742000000000001,-5.0,-0.16100000000000136,-41.0,-1.3219999999999992,64.0,2.0639999999999996,-64.0,-2.0639999999999983,-119.0,-3.839000000000002,0
2003,Milwaukee,Notre Dame,7,1,-1,0.03200000000000003,3,-3,0.18700000000000006,-86.0,-2.774000000000001,7.0,-92.0,0.02699999999999997,-19.0,-5.0,-0.026000000000000023,-81.0,-46.0,-0.07000000000000006,-8.0,-0.2580000000000009,-108.0,-3.483999999999998,-116.0,-3.742000000000001,5.0,0.16100000000000136,41.0,1.3219999999999992,-64.0,-2.0639999999999996,64.0,2.0639999999999983,119.0,3.839000000000002,1
2003,Illinois,Western Kentucky,-9,-1,-1,0.017000000000000015,-1,3,-0.16900000000000004,-107.0,1.3710000000000093,-25.0,-113.0,0.01599999999999996,-23.0,-62.0,0.0,-35.0,-108.0,0.06399999999999995,-110.0,-2.905000000000001,1.0,1.538999999999998,-108.0,-1.3329999999999984,86.0,3.8310000000000013,-18.0,-0.125,-21.0,-0.46099999999999985,-87.0,-1.9019999999999992,-18.0,0.6329999999999991,0
2003,Western Kentucky,Illinois,9,1,1,-0.017000000000000015,1,-3,0.16900000000000004,107.0,-1.3710000000000093,25.0,113.0,-0.01599999999999996,23.0,62.0,0.0,35.0,108.0,-0.06399999999999995,110.0,2.905000000000001,-1.0,-1.538999999999998,108.0,1.3329999999999984,-86.0,-3.8310000000000013,18.0,0.125,21.0,0.46099999999999985,87.0,1.9019999999999992,18.0,-0.6329999999999991,1
